Order_Date,Time,Aging,Customer_Id,Device_Type,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method,Order_ID,Product_ID
2020-03-20,09:17:26,1.4,110628,Web,62.0,5.0,0.5,12.4,1.2,Medium,debit_card,51282,16
2020-01-18,21:54:07,1.9,122063,Web,62.0,1.0,0.5,62.0,6.2,Low,credit_card,51283,16
2020-07-04,15:09:01,2.0,111153,Web,62.0,5.0,0.5,12.4,1.2,Medium,debit_card,51284,16
2020-04-26,06:30:21,7.6,137579,Web,62.0,5.0,0.4,12.4,1.2,Critical,credit_card,51285,16
2020-12-13,14:26:05,4.9,110401,Web,62.0,1.0,0.4,62.0,6.2,Critical,credit_card,51286,16
2020-09-25,18:07:05,7.2,101166,Web,62.0,5.0,0.5,12.4,1.2,High,credit_card,51287,16
2020-06-09,05:26:41,2.9,114614,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51288,16
2020-11-08,09:01:55,6.2,133248,Web,62.0,1.0,0.4,62.0,6.2,Critical,credit_card,51289,16
2020-01-27,09:08:29,7.0,133350,Web,62.0,1.0,0.4,62.0,6.2,Low,credit_card,51290,16
2020-09-26,09:31:49,6.0,108402,Web,85.0,5.0,0.4,17.0,1.7,Critical,credit_card,51291,12
2020-12-23,20:59:15,9.4,116745,Web,62.0,1.0,0.5,62.0,6.2,Low,e_wallet,51292,16
2020-05-17,03:52:34,2.8,133643,Web,62.0,5.0,0.5,12.4,1.2,Critical,money_order,51293,16
2020-10-28,13:28:58,7.8,122251,Web,62.0,1.0,0.4,62.0,6.2,Medium,debit_card,51294,16
2020-06-15,07:07:02,9.7,114205,Web,62.0,5.0,0.4,12.4,1.2,Medium,debit_card,51295,16
2020-08-24,09:25:33,7.9,133116,Web,62.0,1.0,0.5,62.0,6.2,Medium,debit_card,51296,16
2020-09-09,18:18:04,4.6,124413,Web,62.0,1.0,0.5,62.0,6.2,Low,e_wallet,51297,16
2020-12-12,14:04:18,5.4,117548,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51298,16
2020-05-21,06:09:50,9.4,137280,Web,62.0,5.0,0.5,12.4,1.2,High,credit_card,51299,16
2020-08-07,22:04:38,4.7,106742,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51300,16
2020-12-07,03:58:51,6.4,106371,Web,85.0,5.0,0.5,17.0,1.7,Medium,e_wallet,51301,12
2020-07-01,02:25:05,3.2,105250,Web,62.0,1.0,0.4,62.0,6.2,High,credit_card,51302,16
2020-10-01,02:20:04,6.2,132190,Web,85.0,5.0,0.4,17.0,1.7,Medium,credit_card,51303,12
