Order_Date,Time,Aging,Customer_Id,Device_Type,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method,Order_ID,Product_ID
2019-06-13,15:14:40,6.9,106378,Web,124.0,2.0,0.1,36.6,3.7,Critical,e_wallet,51282,39
2019-02-10,23:51:29,9.6,111165,Web,78.0,1.0,0.3,78.0,7.8,Critical,credit_card,51283,37
2019-04-25,05:24:40,1.4,117505,Web,62.0,5.0,0.4,12.4,1.2,High,credit_card,51284,16
2019-01-15,19:14:01,6.8,117713,Web,62.0,1.0,0.5,62.0,6.2,Medium,e_wallet,51285,16
2019-02-21,16:19:04,9.9,116563,Web,85.0,5.0,0.5,17.0,1.7,Low,debit_card,51286,12
2019-08-15,12:53:08,2.5,117775,Web,62.0,1.0,0.4,62.0,6.2,High,credit_card,51287,16
2019-02-20,10:29:52,7.6,114818,Web,62.0,1.0,0.4,62.0,6.2,Critical,debit_card,51288,16
2019-06-24,09:16:56,7.0,108318,Web,216.0,4.0,0.4,101.4,10.1,Medium,credit_card,51289,32
2019-11-07,19:19:00,7.6,117664,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51290,16
2019-06-05,22:28:03,7.6,116594,Web,85.0,5.0,0.5,17.0,1.7,High,credit_card,51291,12
2019-06-02,18:07:20,4.5,108955,Web,62.0,1.0,0.5,62.0,6.2,High,credit_card,51292,16
2019-11-26,20:08:41,8.2,119413,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51293,16
2019-08-09,14:09:26,7.3,115396,Web,62.0,1.0,0.4,62.0,6.2,High,credit_card,51294,16
2019-01-12,00:27:10,2.1,105802,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51295,16
2019-09-12,09:42:15,1.3,109414,Web,248.0,2.0,0.1,163.0,16.3,Medium,debit_card,51296,19
2019-04-13,20:30:40,4.0,106734,Web,62.0,5.0,0.4,12.4,1.2,Low,debit_card,51297,16
2019-05-20,13:10:17,8.5,100825,Web,62.0,1.0,0.5,62.0,6.2,Low,e_wallet,51298,16
