Order_Date,Time,Aging,Customer_Id,Device_Type,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method,Order_ID,Product_ID
2022-05-19,00:20:55,7.1,109527,Web,62.0,1.0,0.4,62.0,6.2,Critical,debit_card,51282,16
2022-06-07,14:19:13,2.4,147283,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51283,16
2022-11-20,07:03:25,8.1,112591,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51284,16
2022-02-10,19:14:31,8.8,130682,Mobile,62.0,2.0,0.5,31.0,3.1,Medium,credit_card,51285,16
2022-05-17,10:42:33,6.3,145543,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51286,16
2022-02-16,20:42:13,6.9,147890,Web,62.0,5.0,0.5,12.4,1.2,High,credit_card,51287,16
2022-07-21,14:53:20,3.0,132087,Web,62.0,2.0,0.5,31.0,3.1,Critical,credit_card,51288,16
2022-01-28,20:11:07,4.8,122150,Mobile,62.0,2.0,0.4,31.0,3.1,Medium,credit_card,51289,16
2022-01-21,08:03:36,3.2,139454,Web,62.0,1.0,0.5,62.0,6.2,High,e_wallet,51290,16
2022-06-07,06:10:56,3.8,115382,Web,70.0,1.0,0.2,70.0,7.0,High,debit_card,51291,40
2022-12-24,05:53:59,5.7,141803,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51292,16
2022-09-18,19:42:46,2.6,146998,Web,70.0,1.0,0.2,70.0,7.0,Critical,debit_card,51293,40
2022-05-02,16:37:35,1.8,134104,Web,62.0,5.0,0.5,12.4,1.2,Critical,credit_card,51294,16
2022-03-17,10:25:39,9.6,101613,Web,62.0,2.0,0.4,31.0,3.1,Critical,credit_card,51295,16
2022-11-28,14:05:42,5.3,117577,Web,62.0,1.0,0.4,62.0,6.2,Medium,debit_card,51296,16
2022-05-11,18:21:36,7.3,100976,Web,85.0,5.0,0.4,17.0,1.7,Medium,credit_card,51297,12
2022-07-28,13:40:01,8.2,108104,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51298,16
2022-07-11,09:39:31,7.3,141833,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51299,16
